Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints_x,Int,Fumbles,FumblesLost,FantasyPoints_y,PredictedFantasyPoints
0,ChristianMcCaffrey,CAR,RB,23.0,16.0,16.0,142.0,116.0,0.0,0.0,2.0,1387.0,15.0,287.0,1005.0,4.0,469.2,0.0,1.0,0.0,73.0,224.23795
1,LamarJackson,BAL,QB,22.0,15.0,15.0,0.0,0.0,3127.0,36.0,401.0,1206.0,7.0,176.0,0.0,0.0,415.68,6.0,9.0,2.0,333.0,360.9501
2,DerrickHenry,TEN,RB,25.0,15.0,15.0,24.0,18.0,0.0,0.0,0.0,1540.0,16.0,303.0,206.0,2.0,294.6,0.0,5.0,3.0,314.0,212.97408
3,AaronJones,GNB,RB,25.0,16.0,16.0,68.0,49.0,0.0,0.0,0.0,1084.0,16.0,236.0,474.0,3.0,314.8,0.0,3.0,2.0,212.0,187.23592
4,EzekielElliott,DAL,RB,24.0,16.0,16.0,71.0,54.0,0.0,0.0,0.0,1357.0,12.0,301.0,420.0,2.0,311.7,0.0,3.0,2.0,172.0,185.71156
5,DalvinCook,MIN,RB,24.0,14.0,14.0,63.0,53.0,0.0,0.0,0.0,1135.0,13.0,250.0,519.0,0.0,292.4,0.0,4.0,2.0,294.0,175.94112
6,MichaelThomas,NOR,WR,26.0,16.0,15.0,185.0,149.0,0.0,0.0,0.0,-9.0,0.0,1.0,1725.0,9.0,374.6,0.0,1.0,0.0,44.0,183.44914
7,TravisKelce,KAN,TE,30.0,16.0,16.0,136.0,97.0,0.0,0.0,0.0,4.0,1.0,1.0,1229.0,5.0,254.3,0.0,1.0,1.0,208.0,115.724976
8,NickChubb,CLE,RB,24.0,16.0,16.0,49.0,36.0,0.0,0.0,0.0,1494.0,8.0,298.0,278.0,0.0,255.2,0.0,3.0,3.0,192.0,168.73749
9,AustinEkeler,LAC,RB,24.0,16.0,8.0,108.0,92.0,0.0,0.0,0.0,557.0,3.0,132.0,993.0,8.0,309.0,0.0,3.0,2.0,111.0,166.82942
